n	PS	R	BC	Mathematica
1	0.007	0.02369475	0.003	0.000139
2	0.003	0.02597451	0.003	0.000168
3	0.002	0.02597451	0.029	0.000056
4	0.010	0.02588892	0.003	0.000084
10	0.003	0.02581835	0.003	0.000088
19	0.003	0.02593279	0.003	0.000051
36	0.005	0.02583814	0.003	0.000072
100	0.005	0.02583456	0.003	0.000068
250	0.004	0.02596474	0.003	0.000134
500	0.005	0.02585292	0.003	0.000114
1000	0.006	0.02603197	0.003	0.000100
2137	0.003	0.02581096	0.004	0.000075
10000	0.008	0.02605653	0.004	0.000224
100000	0.011	0.02699876	0.005	0.000159
1000000	0.014	0.03723979	0.008	0.000223
10000000	0.018	0.1622324	0.013	0.000223
100000000	0.022	1.237261	0.028	0.000369
1000000000	0.028	OffTheScale	0.078	0.000422
2000000000	0.031	OffTheScale	0.106	0.000420
2147483646	0.051	OffTheScale	0.162	0.000675
2147483647	0.006	OffTheScale	0.112	0.000244
























